location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 9,1 wk ahead,Bin,percent,5.5,5.6,0.014977832514874
HHS Region 9,1 wk ahead,Bin,percent,5.6,5.7,0.0135442818056873
HHS Region 9,1 wk ahead,Bin,percent,5.7,5.8,0.0121777274510059
HHS Region 9,1 wk ahead,Bin,percent,5.8,5.9,0.0108862869055246
HHS Region 9,1 wk ahead,Bin,percent,5.9,6.0,0
HHS Region 9,1 wk ahead,Bin,percent,6,6.1,0
HHS Region 9,1 wk ahead,Bin,percent,6.1,6.2,0
HHS Region 9,1 wk ahead,Bin,percent,6.2,6.3,0
HHS Region 9,1 wk ahead,Bin,percent,6.3,6.4,0
HHS Region 9,1 wk ahead,Bin,percent,6.4,6.5,0
HHS Region 9,1 wk ahead,Bin,percent,6.5,6.6,0
HHS Region 9,1 wk ahead,Bin,percent,6.6,6.7,0
HHS Region 9,1 wk ahead,Bin,percent,6.7,6.8,0
HHS Region 9,1 wk ahead,Bin,percent,6.8,6.9,0
HHS Region 9,1 wk ahead,Bin,percent,6.9,7.0,0
HHS Region 9,1 wk ahead,Bin,percent,7,7.1,0
HHS Region 9,1 wk ahead,Bin,percent,7.1,7.2,0
HHS Region 9,1 wk ahead,Bin,percent,7.2,7.3,0
HHS Region 9,1 wk ahead,Bin,percent,7.3,7.4,0
HHS Region 9,1 wk ahead,Bin,percent,7.4,7.5,0
HHS Region 9,1 wk ahead,Bin,percent,7.5,7.6,0
HHS Region 9,1 wk ahead,Bin,percent,7.6,7.7,0
HHS Region 9,1 wk ahead,Bin,percent,7.7,7.8,0
HHS Region 9,1 wk ahead,Bin,percent,7.8,7.9,0
HHS Region 9,1 wk ahead,Bin,percent,7.9,8.0,0
HHS Region 9,1 wk ahead,Bin,percent,8,8.1,0
HHS Region 9,1 wk ahead,Bin,percent,8.1,8.2,0
HHS Region 9,1 wk ahead,Bin,percent,8.2,8.3,0
HHS Region 9,1 wk ahead,Bin,percent,8.3,8.4,0
HHS Region 9,1 wk ahead,Bin,percent,8.4,8.5,0
HHS Region 9,1 wk ahead,Bin,percent,8.5,8.6,0
HHS Region 9,1 wk ahead,Bin,percent,8.6,8.7,0
HHS Region 9,1 wk ahead,Bin,percent,8.7,8.8,0
HHS Region 9,1 wk ahead,Bin,percent,8.8,8.9,0
HHS Region 9,1 wk ahead,Bin,percent,8.9,9.0,0
HHS Region 9,1 wk ahead,Bin,percent,9,9.1,0
HHS Region 9,1 wk ahead,Bin,percent,9.1,9.2,0
HHS Region 9,1 wk ahead,Bin,percent,9.2,9.3,0
HHS Region 9,1 wk ahead,Bin,percent,9.3,9.4,0
HHS Region 9,1 wk ahead,Bin,percent,9.4,9.5,0
HHS Region 9,1 wk ahead,Bin,percent,9.5,9.6,0
HHS Region 9,1 wk ahead,Bin,percent,9.6,9.7,0
HHS Region 9,1 wk ahead,Bin,percent,9.7,9.8,0
HHS Region 9,1 wk ahead,Bin,percent,9.8,9.9,0
HHS Region 9,1 wk ahead,Bin,percent,9.9,10.0,0
HHS Region 9,1 wk ahead,Bin,percent,10,10.1,0
HHS Region 9,1 wk ahead,Bin,percent,10.1,10.2,0
HHS Region 9,1 wk ahead,Bin,percent,10.2,10.3,0
HHS Region 9,1 wk ahead,Bin,percent,10.3,10.4,0
HHS Region 9,1 wk ahead,Bin,percent,10.4,10.5,0
HHS Region 9,1 wk ahead,Bin,percent,10.5,10.6,0
HHS Region 9,1 wk ahead,Bin,percent,10.6,10.7,0
HHS Region 9,1 wk ahead,Bin,percent,10.7,10.8,0
HHS Region 9,1 wk ahead,Bin,percent,10.8,10.9,0
HHS Region 9,1 wk ahead,Bin,percent,10.9,11.0,0
HHS Region 9,1 wk ahead,Bin,percent,11,11.1,0
HHS Region 9,1 wk ahead,Bin,percent,11.1,11.2,0
HHS Region 9,1 wk ahead,Bin,percent,11.2,11.3,0
HHS Region 9,1 wk ahead,Bin,percent,11.3,11.4,0
HHS Region 9,1 wk ahead,Bin,percent,11.4,11.5,0
HHS Region 9,1 wk ahead,Bin,percent,11.5,11.6,0
HHS Region 9,1 wk ahead,Bin,percent,11.6,11.7,0
HHS Region 9,1 wk ahead,Bin,percent,11.7,11.8,0
HHS Region 9,1 wk ahead,Bin,percent,11.8,11.9,0
HHS Region 9,1 wk ahead,Bin,percent,11.9,12.0,0
HHS Region 9,1 wk ahead,Bin,percent,12,12.1,0
HHS Region 9,1 wk ahead,Bin,percent,12.1,12.2,0
HHS Region 9,1 wk ahead,Bin,percent,12.2,12.3,0
HHS Region 9,1 wk ahead,Bin,percent,12.3,12.4,0
HHS Region 9,1 wk ahead,Bin,percent,12.4,12.5,0
HHS Region 9,1 wk ahead,Bin,percent,12.5,12.6,0
HHS Region 9,1 wk ahead,Bin,percent,12.6,12.7,0
HHS Region 9,1 wk ahead,Bin,percent,12.7,12.8,0
HHS Region 9,1 wk ahead,Bin,percent,12.8,12.9,0
HHS Region 9,1 wk ahead,Bin,percent,12.9,13.0,0
HHS Region 9,1 wk ahead,Bin,percent,13,100.0,0
HHS Region 9,2 wk ahead,Point,percent,NA,NA,4
HHS Region 9,2 wk ahead,Bin,percent,0,0.1,0
HHS Region 9,2 wk ahead,Bin,percent,0.1,0.2,0
HHS Region 9,2 wk ahead,Bin,percent,0.2,0.3,0
HHS Region 9,2 wk ahead,Bin,percent,0.3,0.4,0
HHS Region 9,2 wk ahead,Bin,percent,0.4,0.5,0
HHS Region 9,2 wk ahead,Bin,percent,0.5,0.6,0
HHS Region 9,2 wk ahead,Bin,percent,0.6,0.7,0
HHS Region 9,2 wk ahead,Bin,percent,0.7,0.8,0
HHS Region 9,2 wk ahead,Bin,percent,0.8,0.9,0
HHS Region 9,2 wk ahead,Bin,percent,0.9,1.0,0
HHS Region 9,2 wk ahead,Bin,percent,1,1.1,0
HHS Region 9,2 wk ahead,Bin,percent,1.1,1.2,0
HHS Region 9,2 wk ahead,Bin,percent,1.2,1.3,0
HHS Region 9,2 wk ahead,Bin,percent,1.3,1.4,0
HHS Region 9,2 wk ahead,Bin,percent,1.4,1.5,0
HHS Region 9,2 wk ahead,Bin,percent,1.5,1.6,0
HHS Region 9,2 wk ahead,Bin,percent,1.6,1.7,0
HHS Region 9,2 wk ahead,Bin,percent,1.7,1.8,0
HHS Region 9,2 wk ahead,Bin,percent,1.8,1.9,0
HHS Region 9,2 wk ahead,Bin,percent,1.9,2.0,0
HHS Region 9,2 wk ahead,Bin,percent,2,2.1,0
HHS Region 9,2 wk ahead,Bin,percent,2.1,2.2,0
HHS Region 9,2 wk ahead,Bin,percent,2.2,2.3,0.00970389897795834
HHS Region 9,2 wk ahead,Bin,percent,2.3,2.4,0.0113360066995601
HHS Region 9,2 wk ahead,Bin,percent,2.4,2.5,0.0131255039207124
HHS Region 9,2 wk ahead,Bin,percent,2.5,2.6,0.0150630855778401
HHS Region 9,2 wk ahead,Bin,percent,2.6,2.7,0.0171338107842441
HHS Region 9,2 wk ahead,Bin,percent,2.7,2.8,0.0193168387945105
HHS Region 9,2 wk ahead,Bin,percent,2.8,2.9,0.0215854054549374
HHS Region 9,2 wk ahead,Bin,percent,2.9,3.0,0.0239070743698986
HHS Region 9,2 wk ahead,Bin,percent,3,3.1,0.0262442835381277
HHS Region 9,2 wk ahead,Bin,percent,3.1,3.2,0.0285551914838447
HHS Region 9,2 wk ahead,Bin,percent,3.2,3.3,0.0307948079275428
HHS Region 9,2 wk ahead,Bin,percent,3.3,3.4,0.0329163741370756
HHS Region 9,2 wk ahead,Bin,percent,3.4,3.5,0.0348729388251055
HHS Region 9,2 wk ahead,Bin,percent,3.5,3.6,0.0366190584606833
HHS Region 9,2 wk ahead,Bin,percent,3.6,3.7,0.0381125377236067
HHS Region 9,2 wk ahead,Bin,percent,3.7,3.8,0.0393161179058202
HHS Region 9,2 wk ahead,Bin,percent,3.8,3.9,0.040199019331178
HHS Region 9,2 wk ahead,Bin,percent,3.9,4.0,0.0407382488003053
HHS Region 9,2 wk ahead,Bin,percent,4,4.1,0.040919594574097
HHS Region 9,2 wk ahead,Bin,percent,4.1,4.2,0.0407382488003053
HHS Region 9,2 wk ahead,Bin,percent,4.2,4.3,0.040199019331178
HHS Region 9,2 wk ahead,Bin,percent,4.3,4.4,0.0393161179058202
HHS Region 9,2 wk ahead,Bin,percent,4.4,4.5,0.0381125377236067
HHS Region 9,2 wk ahead,Bin,percent,4.5,4.6,0.0366190584606833
HHS Region 9,2 wk ahead,Bin,percent,4.6,4.7,0.0348729388251055
HHS Region 9,2 wk ahead,Bin,percent,4.7,4.8,0.0329163741370756
HHS Region 9,2 wk ahead,Bin,percent,4.8,4.9,0.0307948079275428
HHS Region 9,2 wk ahead,Bin,percent,4.9,5.0,0.0285551914838447
HHS Region 9,2 wk ahead,Bin,percent,5,5.1,0.0262442835381277
HHS Region 9,2 wk ahead,Bin,percent,5.1,5.2,0.0239070743698986
HHS Region 9,2 wk ahead,Bin,percent,5.2,5.3,0.0215854054549374
HHS Region 9,2 wk ahead,Bin,percent,5.3,5.4,0.0193168387945105
HHS Region 9,2 wk ahead,Bin,percent,5.4,5.5,0.0171338107842441
HHS Region 9,2 wk ahead,Bin,percent,5.5,5.6,0.0150630855778401
HHS Region 9,2 wk ahead,Bin,percent,5.6,5.7,0.0131255039207124
HHS Region 9,2 wk ahead,Bin,percent,5.7,5.8,0.0113360066995601
HHS Region 9,2 wk ahead,Bin,percent,5.8,5.9,0.00970389897795834
HHS Region 9,2 wk ahead,Bin,percent,5.9,6.0,0
HHS Region 9,2 wk ahead,Bin,percent,6,6.1,0
HHS Region 9,2 wk ahead,Bin,percent,6.1,6.2,0
HHS Region 9,2 wk ahead,Bin,percent,6.2,6.3,0
HHS Region 9,2 wk ahead,Bin,percent,6.3,6.4,0
HHS Region 9,2 wk ahead,Bin,percent,6.4,6.5,0
HHS Region 9,2 wk ahead,Bin,percent,6.5,6.6,0
HHS Region 9,2 wk ahead,Bin,percent,6.6,6.7,0
HHS Region 9,2 wk ahead,Bin,percent,6.7,6.8,0
HHS Region 9,2 wk ahead,Bin,percent,6.8,6.9,0
HHS Region 9,2 wk ahead,Bin,percent,6.9,7.0,0
HHS Region 9,2 wk ahead,Bin,percent,7,7.1,0
HHS Region 9,2 wk ahead,Bin,percent,7.1,7.2,0
HHS Region 9,2 wk ahead,Bin,percent,7.2,7.3,0
HHS Region 9,2 wk ahead,Bin,percent,7.3,7.4,0
HHS Region 9,2 wk ahead,Bin,percent,7.4,7.5,0
HHS Region 9,2 wk ahead,Bin,percent,7.5,7.6,0
HHS Region 9,2 wk ahead,Bin,percent,7.6,7.7,0
HHS Region 9,2 wk ahead,Bin,percent,7.7,7.8,0
HHS Region 9,2 wk ahead,Bin,percent,7.8,7.9,0
HHS Region 9,2 wk ahead,Bin,percent,7.9,8.0,0
HHS Region 9,2 wk ahead,Bin,percent,8,8.1,0
HHS Region 9,2 wk ahead,Bin,percent,8.1,8.2,0
HHS Region 9,2 wk ahead,Bin,percent,8.2,8.3,0
HHS Region 9,2 wk ahead,Bin,percent,8.3,8.4,0
HHS Region 9,2 wk ahead,Bin,percent,8.4,8.5,0
HHS Region 9,2 wk ahead,Bin,percent,8.5,8.6,0
HHS Region 9,2 wk ahead,Bin,percent,8.6,8.7,0
HHS Region 9,2 wk ahead,Bin,percent,8.7,8.8,0
HHS Region 9,2 wk ahead,Bin,percent,8.8,8.9,0
HHS Region 9,2 wk ahead,Bin,percent,8.9,9.0,0
HHS Region 9,2 wk ahead,Bin,percent,9,9.1,0
HHS Region 9,2 wk ahead,Bin,percent,9.1,9.2,0
HHS Region 9,2 wk ahead,Bin,percent,9.2,9.3,0
HHS Region 9,2 wk ahead,Bin,percent,9.3,9.4,0
HHS Region 9,2 wk ahead,Bin,percent,9.4,9.5,0
HHS Region 9,2 wk ahead,Bin,percent,9.5,9.6,0
HHS Region 9,2 wk ahead,Bin,percent,9.6,9.7,0
HHS Region 9,2 wk ahead,Bin,percent,9.7,9.8,0
HHS Region 9,2 wk ahead,Bin,percent,9.8,9.9,0
HHS Region 9,2 wk ahead,Bin,percent,9.9,10.0,0
HHS Region 9,2 wk ahead,Bin,percent,10,10.1,0
HHS Region 9,2 wk ahead,Bin,percent,10.1,10.2,0
HHS Region 9,2 wk ahead,Bin,percent,10.2,10.3,0
HHS Region 9,2 wk ahead,Bin,percent,10.3,10.4,0
HHS Region 9,2 wk ahead,Bin,percent,10.4,10.5,0
HHS Region 9,2 wk ahead,Bin,percent,10.5,10.6,0
HHS Region 9,2 wk ahead,Bin,percent,10.6,10.7,0
HHS Region 9,2 wk ahead,Bin,percent,10.7,10.8,0
HHS Region 9,2 wk ahead,Bin,percent,10.8,10.9,0
HHS Region 9,2 wk ahead,Bin,percent,10.9,11.0,0
HHS Region 9,2 wk ahead,Bin,percent,11,11.1,0
HHS Region 9,2 wk ahead,Bin,percent,11.1,11.2,0
HHS Region 9,2 wk ahead,Bin,percent,11.2,11.3,0
HHS Region 9,2 wk ahead,Bin,percent,11.3,11.4,0
HHS Region 9,2 wk ahead,Bin,percent,11.4,11.5,0
HHS Region 9,2 wk ahead,Bin,percent,11.5,11.6,0
HHS Region 9,2 wk ahead,Bin,percent,11.6,11.7,0
HHS Region 9,2 wk ahead,Bin,percent,11.7,11.8,0
HHS Region 9,2 wk ahead,Bin,percent,11.8,11.9,0
HHS Region 9,2 wk ahead,Bin,percent,11.9,12.0,0
HHS Region 9,2 wk ahead,Bin,percent,12,12.1,0
HHS Region 9,2 wk ahead,Bin,percent,12.1,12.2,0
HHS Region 9,2 wk ahead,Bin,percent,12.2,12.3,0
HHS Region 9,2 wk ahead,Bin,percent,12.3,12.4,0
HHS Region 9,2 wk ahead,Bin,percent,12.4,12.5,0
HHS Region 9,2 wk ahead,Bin,percent,12.5,12.6,0
HHS Region 9,2 wk ahead,Bin,percent,12.6,12.7,0
HHS Region 9,2 wk ahead,Bin,percent,12.7,12.8,0
HHS Region 9,2 wk ahead,Bin,percent,12.8,12.9,0
HHS Region 9,2 wk ahead,Bin,percent,12.9,13.0,0
HHS Region 9,2 wk ahead,Bin,percent,13,100.0,0
HHS Region 9,3 wk ahead,Point,percent,NA,NA,3.3
HHS Region 9,3 wk ahead,Bin,percent,0,0.1,0
HHS Region 9,3 wk ahead,Bin,percent,0.1,0.2,0
HHS Region 9,3 wk ahead,Bin,percent,0.2,0.3,0
HHS Region 9,3 wk ahead,Bin,percent,0.3,0.4,0
HHS Region 9,3 wk ahead,Bin,percent,0.4,0.5,0
HHS Region 9,3 wk ahead,Bin,percent,0.5,0.6,0
HHS Region 9,3 wk ahead,Bin,percent,0.6,0.7,0
HHS Region 9,3 wk ahead,Bin,percent,0.7,0.8,0
HHS Region 9,3 wk ahead,Bin,percent,0.8,0.9,0
HHS Region 9,3 wk ahead,Bin,percent,0.9,1.0,0
HHS Region 9,3 wk ahead,Bin,percent,1,1.1,0
HHS Region 9,3 wk ahead,Bin,percent,1.1,1.2,0
HHS Region 9,3 wk ahead,Bin,percent,1.2,1.3,0
HHS Region 9,3 wk ahead,Bin,percent,1.3,1.4,0.0113402854073382
HHS Region 9,3 wk ahead,Bin,percent,1.4,1.5,0.0126180497335436
HHS Region 9,3 wk ahead,Bin,percent,1.5,1.6,0.013963124986016
HHS Region 9,3 wk ahead,Bin,percent,1.6,1.7,0.0153672146238069
HHS Region 9,3 wk ahead,Bin,percent,1.7,1.8,0.0168201486238483
HHS Region 9,3 wk ahead,Bin,percent,1.8,1.9,0.0183099282244794
HHS Region 9,3 wk ahead,Bin,percent,1.9,2.0,0.0198228272229694
HHS Region 9,3 wk ahead,Bin,percent,2,2.1,0.021343551697086
HHS Region 9,3 wk ahead,Bin,percent,2.1,2.2,0.0228554578674555
HHS Region 9,3 wk ahead,Bin,percent,2.2,2.3,0.0243408254870212
HHS Region 9,3 wk ahead,Bin,percent,2.3,2.4,0.02578118173984
HHS Region 9,3 wk ahead,Bin,percent,2.4,2.5,0.0271576682699959
HHS Region 9,3 wk ahead,Bin,percent,2.5,2.6,0.0284514417652103
HHS Region 9,3 wk ahead,Bin,percent,2.6,2.7,0.0296440966108564
HHS Region 9,3 wk ahead,Bin,percent,2.7,2.8,0.0307180966224104
HHS Region 9,3 wk ahead,Bin,percent,2.8,2.9,0.0316572018560733
HHS Region 9,3 wk ahead,Bin,percent,2.9,3.0,0.0324468760639706
HHS Region 9,3 wk ahead,Bin,percent,3,3.1,0.0330746605492844
HHS Region 9,3 wk ahead,Bin,percent,3.1,3.2,0.0335305010026594
HHS Region 9,3 wk ahead,Bin,percent,3.2,3.3,0.033807015344446
HHS Region 9,3 wk ahead,Bin,percent,3.3,3.4,0.0338996926033777
HHS Region 9,3 wk ahead,Bin,percent,3.4,3.5,0.033807015344446
HHS Region 9,3 wk ahead,Bin,percent,3.5,3.6,0.0335305010026594
HHS Region 9,3 wk ahead,Bin,percent,3.6,3.7,0.0330746605492844
HHS Region 9,3 wk ahead,Bin,percent,3.7,3.8,0.0324468760639706
HHS Region 9,3 wk ahead,Bin,percent,3.8,3.9,0.0316572018560733
HHS Region 9,3 wk ahead,Bin,percent,3.9,4.0,0.0307180966224104
HHS Region 9,3 wk ahead,Bin,percent,4,4.1,0.0296440966108564
HHS Region 9,3 wk ahead,Bin,percent,4.1,4.2,0.0284514417652103
HHS Region 9,3 wk ahead,Bin,percent,4.2,4.3,0.0271576682699959
HHS Region 9,3 wk ahead,Bin,percent,4.3,4.4,0.02578118173984
HHS Region 9,3 wk ahead,Bin,percent,4.4,4.5,0.0243408254870212
HHS Region 9,3 wk ahead,Bin,percent,4.5,4.6,0.0228554578674555
HHS Region 9,3 wk ahead,Bin,percent,4.6,4.7,0.021343551697086
HHS Region 9,3 wk ahead,Bin,percent,4.7,4.8,0.0198228272229694
HHS Region 9,3 wk ahead,Bin,percent,4.8,4.9,0.0183099282244794
HHS Region 9,3 wk ahead,Bin,percent,4.9,5.0,0.0168201486238483
HHS Region 9,3 wk ahead,Bin,percent,5,5.1,0.0153672146238069
HHS Region 9,3 wk ahead,Bin,percent,5.1,5.2,0.013963124986016
HHS Region 9,3 wk ahead,Bin,percent,5.2,5.3,0.0126180497335436
HHS Region 9,3 wk ahead,Bin,percent,5.3,5.4,0.0113402854073382
HHS Region 9,3 wk ahead,Bin,percent,5.4,5.5,0
HHS Region 9,3 wk ahead,Bin,percent,5.5,5.6,0
HHS Region 9,3 wk ahead,Bin,percent,5.6,5.7,0
HHS Region 9,3 wk ahead,Bin,percent,5.7,5.8,0
HHS Region 9,3 wk ahead,Bin,percent,5.8,5.9,0
HHS Region 9,3 wk ahead,Bin,percent,5.9,6.0,0
HHS Region 9,3 wk ahead,Bin,percent,6,6.1,0
HHS Region 9,3 wk ahead,Bin,percent,6.1,6.2,0
HHS Region 9,3 wk ahead,Bin,percent,6.2,6.3,0
HHS Region 9,3 wk ahead,Bin,percent,6.3,6.4,0
HHS Region 9,3 wk ahead,Bin,percent,6.4,6.5,0
HHS Region 9,3 wk ahead,Bin,percent,6.5,6.6,0
HHS Region 9,3 wk ahead,Bin,percent,6.6,6.7,0
HHS Region 9,3 wk ahead,Bin,percent,6.7,6.8,0
HHS Region 9,3 wk ahead,Bin,percent,6.8,6.9,0
HHS Region 9,3 wk ahead,Bin,percent,6.9,7.0,0
HHS Region 9,3 wk ahead,Bin,percent,7,7.1,0
HHS Region 9,3 wk ahead,Bin,percent,7.1,7.2,0
HHS Region 9,3 wk ahead,Bin,percent,7.2,7.3,0
HHS Region 9,3 wk ahead,Bin,percent,7.3,7.4,0
HHS Region 9,3 wk ahead,Bin,percent,7.4,7.5,0
HHS Region 9,3 wk ahead,Bin,percent,7.5,7.6,0
HHS Region 9,3 wk ahead,Bin,percent,7.6,7.7,0
HHS Region 9,3 wk ahead,Bin,percent,7.7,7.8,0
HHS Region 9,3 wk ahead,Bin,percent,7.8,7.9,0
HHS Region 9,3 wk ahead,Bin,percent,7.9,8.0,0
HHS Region 9,3 wk ahead,Bin,percent,8,8.1,0
HHS Region 9,3 wk ahead,Bin,percent,8.1,8.2,0
HHS Region 9,3 wk ahead,Bin,percent,8.2,8.3,0
HHS Region 9,3 wk ahead,Bin,percent,8.3,8.4,0
HHS Region 9,3 wk ahead,Bin,percent,8.4,8.5,0
HHS Region 9,3 wk ahead,Bin,percent,8.5,8.6,0
HHS Region 9,3 wk ahead,Bin,percent,8.6,8.7,0
HHS Region 9,3 wk ahead,Bin,percent,8.7,8.8,0
HHS Region 9,3 wk ahead,Bin,percent,8.8,8.9,0
HHS Region 9,3 wk ahead,Bin,percent,8.9,9.0,0
HHS Region 9,3 wk ahead,Bin,percent,9,9.1,0
HHS Region 9,3 wk ahead,Bin,percent,9.1,9.2,0
HHS Region 9,3 wk ahead,Bin,percent,9.2,9.3,0
HHS Region 9,3 wk ahead,Bin,percent,9.3,9.4,0
HHS Region 9,3 wk ahead,Bin,percent,9.4,9.5,0
HHS Region 9,3 wk ahead,Bin,percent,9.5,9.6,0
HHS Region 9,3 wk ahead,Bin,percent,9.6,9.7,0
HHS Region 9,3 wk ahead,Bin,percent,9.7,9.8,0
HHS Region 9,3 wk ahead,Bin,percent,9.8,9.9,0
HHS Region 9,3 wk ahead,Bin,percent,9.9,10.0,0
HHS Region 9,3 wk ahead,Bin,percent,10,10.1,0
HHS Region 9,3 wk ahead,Bin,percent,10.1,10.2,0
HHS Region 9,3 wk ahead,Bin,percent,10.2,10.3,0
HHS Region 9,3 wk ahead,Bin,percent,10.3,10.4,0
HHS Region 9,3 wk ahead,Bin,percent,10.4,10.5,0
HHS Region 9,3 wk ahead,Bin,percent,10.5,10.6,0
HHS Region 9,3 wk ahead,Bin,percent,10.6,10.7,0
HHS Region 9,3 wk ahead,Bin,percent,10.7,10.8,0
HHS Region 9,3 wk ahead,Bin,percent,10.8,10.9,0
HHS Region 9,3 wk ahead,Bin,percent,10.9,11.0,0
HHS Region 9,3 wk ahead,Bin,percent,11,11.1,0
HHS Region 9,3 wk ahead,Bin,percent,11.1,11.2,0
HHS Region 9,3 wk ahead,Bin,percent,11.2,11.3,0
HHS Region 9,3 wk ahead,Bin,percent,11.3,11.4,0
HHS Region 9,3 wk ahead,Bin,percent,11.4,11.5,0
HHS Region 9,3 wk ahead,Bin,percent,11.5,11.6,0
HHS Region 9,3 wk ahead,Bin,percent,11.6,11.7,0
HHS Region 9,3 wk ahead,Bin,percent,11.7,11.8,0
HHS Region 9,3 wk ahead,Bin,percent,11.8,11.9,0
HHS Region 9,3 wk ahead,Bin,percent,11.9,12.0,0
HHS Region 9,3 wk ahead,Bin,percent,12,12.1,0
HHS Region 9,3 wk ahead,Bin,percent,12.1,12.2,0
HHS Region 9,3 wk ahead,Bin,percent,12.2,12.3,0
HHS Region 9,3 wk ahead,Bin,percent,12.3,12.4,0
HHS Region 9,3 wk ahead,Bin,percent,12.4,12.5,0
HHS Region 9,3 wk ahead,Bin,percent,12.5,12.6,0
HHS Region 9,3 wk ahead,Bin,percent,12.6,12.7,0
HHS Region 9,3 wk ahead,Bin,percent,12.7,12.8,0
HHS Region 9,3 wk ahead,Bin,percent,12.8,12.9,0
HHS Region 9,3 wk ahead,Bin,percent,12.9,13.0,0
HHS Region 9,3 wk ahead,Bin,percent,13,100.0,0
HHS Region 9,4 wk ahead,Point,percent,NA,NA,3.3
HHS Region 9,4 wk ahead,Bin,percent,0,0.1,0
HHS Region 9,4 wk ahead,Bin,percent,0.1,0.2,0
HHS Region 9,4 wk ahead,Bin,percent,0.2,0.3,0
HHS Region 9,4 wk ahead,Bin,percent,0.3,0.4,0
HHS Region 9,4 wk ahead,Bin,percent,0.4,0.5,0
HHS Region 9,4 wk ahead,Bin,percent,0.5,0.6,0
HHS Region 9,4 wk ahead,Bin,percent,0.6,0.7,0
HHS Region 9,4 wk ahead,Bin,percent,0.7,0.8,0
HHS Region 9,4 wk ahead,Bin,percent,0.8,0.9,0
HHS Region 9,4 wk ahead,Bin,percent,0.9,1.0,0
HHS Region 9,4 wk ahead,Bin,percent,1,1.1,0
HHS Region 9,4 wk ahead,Bin,percent,1.1,1.2,0
HHS Region 9,4 wk ahead,Bin,percent,1.2,1.3,0
HHS Region 9,4 wk ahead,Bin,percent,1.3,1.4,0.0113402854073382
HHS Region 9,4 wk ahead,Bin,percent,1.4,1.5,0.0126180497335436
HHS Region 9,4 wk ahead,Bin,percent,1.5,1.6,0.013963124986016
HHS Region 9,4 wk ahead,Bin,percent,1.6,1.7,0.0153672146238069
HHS Region 9,4 wk ahead,Bin,percent,1.7,1.8,0.0168201486238483
HHS Region 9,4 wk ahead,Bin,percent,1.8,1.9,0.0183099282244794
HHS Region 9,4 wk ahead,Bin,percent,1.9,2.0,0.0198228272229694
HHS Region 9,4 wk ahead,Bin,percent,2,2.1,0.021343551697086
HHS Region 9,4 wk ahead,Bin,percent,2.1,2.2,0.0228554578674555
HHS Region 9,4 wk ahead,Bin,percent,2.2,2.3,0.0243408254870212
HHS Region 9,4 wk ahead,Bin,percent,2.3,2.4,0.02578118173984
HHS Region 9,4 wk ahead,Bin,percent,2.4,2.5,0.0271576682699959
HHS Region 9,4 wk ahead,Bin,percent,2.5,2.6,0.0284514417652103
HHS Region 9,4 wk ahead,Bin,percent,2.6,2.7,0.0296440966108564
HHS Region 9,4 wk ahead,Bin,percent,2.7,2.8,0.0307180966224104
HHS Region 9,4 wk ahead,Bin,percent,2.8,2.9,0.0316572018560733
HHS Region 9,4 wk ahead,Bin,percent,2.9,3.0,0.0324468760639706
HHS Region 9,4 wk ahead,Bin,percent,3,3.1,0.0330746605492844
HHS Region 9,4 wk ahead,Bin,percent,3.1,3.2,0.0335305010026594
HHS Region 9,4 wk ahead,Bin,percent,3.2,3.3,0.033807015344446
HHS Region 9,4 wk ahead,Bin,percent,3.3,3.4,0.0338996926033777
HHS Region 9,4 wk ahead,Bin,percent,3.4,3.5,0.033807015344446
HHS Region 9,4 wk ahead,Bin,percent,3.5,3.6,0.0335305010026594
HHS Region 9,4 wk ahead,Bin,percent,3.6,3.7,0.0330746605492844
HHS Region 9,4 wk ahead,Bin,percent,3.7,3.8,0.0324468760639706
HHS Region 9,4 wk ahead,Bin,percent,3.8,3.9,0.0316572018560733
HHS Region 9,4 wk ahead,Bin,percent,3.9,4.0,0.0307180966224104
HHS Region 9,4 wk ahead,Bin,percent,4,4.1,0.0296440966108564
HHS Region 9,4 wk ahead,Bin,percent,4.1,4.2,0.0284514417652103
HHS Region 9,4 wk ahead,Bin,percent,4.2,4.3,0.0271576682699959
HHS Region 9,4 wk ahead,Bin,percent,4.3,4.4,0.02578118173984
HHS Region 9,4 wk ahead,Bin,percent,4.4,4.5,0.0243408254870212
HHS Region 9,4 wk ahead,Bin,percent,4.5,4.6,0.0228554578674555
HHS Region 9,4 wk ahead,Bin,percent,4.6,4.7,0.021343551697086
HHS Region 9,4 wk ahead,Bin,percent,4.7,4.8,0.0198228272229694
HHS Region 9,4 wk ahead,Bin,percent,4.8,4.9,0.0183099282244794
HHS Region 9,4 wk ahead,Bin,percent,4.9,5.0,0.0168201486238483
HHS Region 9,4 wk ahead,Bin,percent,5,5.1,0.0153672146238069
HHS Region 9,4 wk ahead,Bin,percent,5.1,5.2,0.013963124986016
HHS Region 9,4 wk ahead,Bin,percent,5.2,5.3,0.0126180497335436
HHS Region 9,4 wk ahead,Bin,percent,5.3,5.4,0.0113402854073382
HHS Region 9,4 wk ahead,Bin,percent,5.4,5.5,0
HHS Region 9,4 wk ahead,Bin,percent,5.5,5.6,0
HHS Region 9,4 wk ahead,Bin,percent,5.6,5.7,0
HHS Region 9,4 wk ahead,Bin,percent,5.7,5.8,0
HHS Region 9,4 wk ahead,Bin,percent,5.8,5.9,0
